GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0001816	cytokine production	812	36	15.06	1.2e-06
GO:0065007	biological regulation	13404	285	248.57	2.0e-06
GO:0031098	stress-activated protein kinase signalin...	598	29	11.09	2.6e-06
GO:0001817	regulation of cytokine production	740	33	13.72	3.1e-06
GO:0051403	stress-activated MAPK cascade	555	26	10.29	1.6e-05
GO:0051179	localization	9201	209	170.63	1.7e-05
GO:0007254	JNK cascade	438	22	8.12	2.5e-05
GO:0065009	regulation of molecular function	4180	110	77.52	3.0e-05
GO:0007435	salivary gland morphogenesis	269	16	4.99	4.5e-05
GO:1902107	positive regulation of leukocyte differe...	137	11	2.54	5.0e-05
GO:0007424	open tracheal system development	496	23	9.2	5.7e-05
GO:0050794	regulation of cellular process	11432	246	212	6.2e-05
GO:0007431	salivary gland development	341	18	6.32	7.3e-05
GO:0035272	exocrine system development	354	18	6.56	0.00012
GO:0002684	positive regulation of immune system pro...	1043	37	19.34	0.00012
GO:0002764	immune response-regulating signaling pat...	529	23	9.81	0.00015
GO:0002699	positive regulation of immune effector p...	272	15	5.04	0.00018
GO:1903708	positive regulation of hemopoiesis	188	12	3.49	0.00021
GO:0002757	immune response-activating signaling pat...	508	22	9.42	0.00022
GO:0002221	pattern recognition receptor signaling p...	249	14	4.62	0.00024
GO:0002758	innate immune response-activating signal...	280	15	5.19	0.00025
GO:0050778	positive regulation of immune response	770	29	14.28	0.00025
GO:0035556	intracellular signal transduction	3722	96	69.02	0.00026
GO:0001818	negative regulation of cytokine producti...	282	15	5.23	0.00027
GO:0002253	activation of immune response	587	24	10.89	0.00027
GO:0048870	cell motility	2513	70	46.6	0.00027
GO:0006468	protein phosphorylation	2470	69	45.81	0.00028
GO:0050789	regulation of biological process	12274	257	227.62	0.00032
GO:0042246	tissue regeneration	198	12	3.67	0.00034
GO:0032879	regulation of localization	4138	104	76.74	0.00035
GO:0044093	positive regulation of molecular functio...	2500	69	46.36	0.00040
GO:0042742	defense response to bacterium	496	21	9.2	0.00041
GO:0035152	regulation of tube architecture, open tr...	232	13	4.3	0.00041
GO:0035151	regulation of tube size, open tracheal s...	147	10	2.73	0.00042
GO:0007249	I-kappaB kinase/NF-kappaB signaling	265	14	4.91	0.00045
GO:0045229	external encapsulating structure organiz...	648	25	12.02	0.00047
GO:0002224	toll-like receptor signaling pathway	178	11	3.3	0.00050
GO:0051336	regulation of hydrolase activity	1720	51	31.9	0.00053
GO:0009611	response to wounding	1379	43	25.57	0.00055
GO:0002218	activation of innate immune response	305	15	5.66	0.00061
GO:0002833	positive regulation of response to bioti...	407	18	7.55	0.00063
GO:0032680	regulation of tumor necrosis factor prod...	155	10	2.87	0.00064
GO:1903555	regulation of tumor necrosis factor supe...	155	10	2.87	0.00064
GO:0022612	gland morphogenesis	479	20	8.88	0.00066
GO:0032640	tumor necrosis factor production	157	10	2.91	0.00071
GO:0071706	tumor necrosis factor superfamily cytoki...	157	10	2.91	0.00071
GO:0016477	cell migration	2370	65	43.95	0.00072
GO:1902105	regulation of leukocyte differentiation	282	14	5.23	0.00084
GO:0000209	protein polyubiquitination	386	17	7.16	0.00093
GO:0002700	regulation of production of molecular me...	193	11	3.58	0.00098
GO:0051092	positive regulation of NF-kappaB transcr...	164	10	3.04	0.00099
GO:0050878	regulation of body fluid levels	683	25	12.67	0.00101
GO:0050776	regulation of immune response	962	32	17.84	0.00104
GO:0006915	apoptotic process	2777	73	51.5	0.00106
GO:0048522	positive regulation of cellular process	7114	160	131.93	0.00109
GO:0001819	positive regulation of cytokine producti...	428	18	7.94	0.00112
GO:0009653	anatomical structure morphogenesis	5373	126	99.64	0.00116
GO:0046328	regulation of JNK cascade	394	17	7.31	0.00116
GO:0048518	positive regulation of biological proces...	7865	174	145.85	0.00120
GO:0043412	macromolecule modification	5488	128	101.77	0.00128
GO:0060541	respiratory system development	854	29	15.84	0.00130
GO:0042981	regulation of apoptotic process	2381	64	44.15	0.00133
GO:0012501	programmed cell death	3036	78	56.3	0.00134
GO:0050790	regulation of catalytic activity	3134	80	58.12	0.00138
GO:0043067	regulation of programmed cell death	2479	66	45.97	0.00141
GO:0019220	regulation of phosphate metabolic proces...	2435	65	45.16	0.00144
GO:0051174	regulation of phosphorus metabolic proce...	2435	65	45.16	0.00144
GO:0002768	immune response-regulating cell surface ...	367	16	6.81	0.00145
GO:0060491	regulation of cell projection assembly	403	17	7.47	0.00148
GO:0120032	regulation of plasma membrane bounded ce...	403	17	7.47	0.00148
GO:0009886	post-embryonic animal morphogenesis	1031	33	19.12	0.00163
GO:0002429	immune response-activating cell surface ...	341	15	6.32	0.00185
GO:0035239	tube morphogenesis	2047	56	37.96	0.00187
GO:0009790	embryo development	2981	76	55.28	0.00194
GO:0061041	regulation of wound healing	279	13	5.17	0.00222
GO:0060562	epithelial tube morphogenesis	1394	41	25.85	0.00225
GO:0051641	cellular localization	6283	142	116.52	0.00225
GO:0036211	protein modification process	5263	122	97.6	0.00229
GO:0031099	regeneration	652	23	12.09	0.00253
GO:0045089	positive regulation of innate immune res...	354	15	6.56	0.00265
GO:0048563	post-embryonic animal organ morphogenesi...	855	28	15.86	0.00265
GO:0007267	cell-cell signaling	2593	67	48.09	0.00273
GO:0035150	regulation of tube size	428	17	7.94	0.00278
GO:0007266	Rho protein signal transduction	253	12	4.69	0.00281
GO:0007010	cytoskeleton organization	2363	62	43.82	0.00283
GO:0120034	positive regulation of plasma membrane b...	221	11	4.1	0.00288
GO:0010595	positive regulation of endothelial cell ...	191	10	3.54	0.00307
GO:0042060	wound healing	990	31	18.36	0.00313
GO:0051674	localization of cell	1779	49	32.99	0.00322
GO:0060560	developmental growth involved in morphog...	745	25	13.82	0.00324
GO:0018105	peptidyl-serine phosphorylation	510	19	9.46	0.00327
GO:0090066	regulation of anatomical structure size	1296	38	24.03	0.00343
GO:0010594	regulation of endothelial cell migration	260	12	4.82	0.00350
GO:0007560	imaginal disc morphogenesis	833	27	15.45	0.00361
GO:0048707	instar larval or pupal morphogenesis	959	30	17.78	0.00369
GO:0048598	embryonic morphogenesis	1522	43	28.22	0.00369
GO:0045216	cell-cell junction organization	633	22	11.74	0.00372
GO:0043069	negative regulation of programmed cell d...	1480	42	27.45	0.00380
GO:0032872	regulation of stress-activated MAPK casc...	480	18	8.9	0.00388
GO:0070302	regulation of stress-activated protein k...	480	18	8.9	0.00388
GO:0002165	instar larval or pupal development	1090	33	20.21	0.00390
GO:0002697	regulation of immune effector process	481	18	8.92	0.00396
GO:0046903	secretion	2871	72	53.24	0.00396
GO:0030198	extracellular matrix organization	520	19	9.64	0.00403
GO:0051247	positive regulation of protein metabolic...	2447	63	45.38	0.00404
GO:0043085	positive regulation of catalytic activit...	2031	54	37.66	0.00415
GO:0007165	signal transduction	6538	145	121.24	0.00432
GO:0031349	positive regulation of defense response	486	18	9.01	0.00440
GO:0050867	positive regulation of cell activation	338	14	6.27	0.00443
GO:0023052	signaling	7380	161	136.86	0.00444
GO:0051246	regulation of protein metabolic process	3908	93	72.47	0.00455
GO:0002696	positive regulation of leukocyte activat...	305	13	5.66	0.00474
GO:0006470	protein dephosphorylation	490	18	9.09	0.00479
GO:0060548	negative regulation of cell death	1725	47	31.99	0.00480
GO:0051239	regulation of multicellular organismal p...	5218	119	96.77	0.00480
GO:0046879	hormone secretion	529	19	9.81	0.00483
GO:0043066	negative regulation of apoptotic process	1457	41	27.02	0.00489
GO:0007275	multicellular organism development	8946	190	165.9	0.00497
GO:0009887	animal organ morphogenesis	2755	69	51.09	0.00501
GO:0040011	locomotion	3480	84	64.54	0.00505
GO:1903034	regulation of response to wounding	455	17	8.44	0.00512
GO:0008285	negative regulation of cell population p...	1154	34	21.4	0.00517
GO:0002440	production of molecular mediator of immu...	239	11	4.43	0.00518
GO:0043062	extracellular structure organization	612	21	11.35	0.00525
GO:0009914	hormone transport	573	20	10.63	0.00531
GO:0001667	ameboidal-type cell migration	1072	32	19.88	0.00548
GO:0007548	sex differentiation	819	26	15.19	0.00556
GO:0032501	multicellular organismal process	11329	233	210.09	0.00556
GO:0035295	tube development	2672	67	49.55	0.00557
GO:0006796	phosphate-containing compound metabolic ...	4785	110	88.74	0.00558
GO:0018209	peptidyl-serine modification	538	19	9.98	0.00576
GO:0006793	phosphorus metabolic process	4942	113	91.65	0.00579
GO:0002831	regulation of response to biotic stimulu...	619	21	11.48	0.00596
GO:0007154	cell communication	7483	162	138.77	0.00600
GO:0031399	regulation of protein modification proce...	2586	65	47.96	0.00602
GO:0032940	secretion by cell	2636	66	48.88	0.00615
GO:0016331	morphogenesis of embryonic epithelium	583	20	10.81	0.00639
GO:1904951	positive regulation of establishment of ...	705	23	13.07	0.00649
GO:0042127	regulation of cell population proliferat...	2366	60	43.88	0.00698
GO:0045766	positive regulation of angiogenesis	215	10	3.99	0.00701
GO:0007391	dorsal closure	286	12	5.3	0.00736
GO:0008219	cell death	3386	81	62.79	0.00753
GO:0009617	response to bacterium	1229	35	22.79	0.00766
GO:1903829	positive regulation of protein localizat...	968	29	17.95	0.00767
GO:0048856	anatomical structure development	9461	198	175.45	0.00792
GO:0006810	transport	7482	161	138.75	0.00810
GO:0051222	positive regulation of protein transport	679	22	12.59	0.00829
GO:0000165	MAPK cascade	1192	34	22.11	0.00834
GO:0006955	immune response	2436	61	45.17	0.00850
GO:0016311	dephosphorylation	764	24	14.17	0.00857
GO:0001932	regulation of protein phosphorylation	1967	51	36.48	0.00861
GO:0032103	positive regulation of response to exter...	765	24	14.19	0.00870
GO:0007599	hemostasis	404	15	7.49	0.00875
GO:0060255	regulation of macromolecule metabolic pr...	6920	150	128.33	0.00893
GO:0002682	regulation of immune system process	1648	44	30.56	0.00896
GO:0046651	lymphocyte proliferation	258	11	4.78	0.00900
GO:0048568	embryonic organ development	895	27	16.6	0.00912
GO:0019222	regulation of metabolic process	7822	167	145.06	0.00917
GO:0045088	regulation of innate immune response	484	17	8.98	0.00922
GO:0010921	regulation of phosphatase activity	224	10	4.15	0.00922
GO:0051234	establishment of localization	7666	164	142.16	0.00934
GO:0080090	regulation of primary metabolic process	6776	147	125.66	0.00962
GO:0051493	regulation of cytoskeleton organization	1029	30	19.08	0.00970
GO:0032943	mononuclear cell proliferation	261	11	4.84	0.00976
GO:0010646	regulation of cell communication	4872	110	90.35	0.00984
GO:0010941	regulation of cell death	2839	69	52.65	0.00996
