go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0034248	1	GO:0034248	0.994	4.10790539730952	0	regulation of amide metabolic process	regulation of amide metabolic process
GO:0048546	2	GO:0048546	1	3.85387196432176	14	digestive tract morphogenesis	digestive tract morphogenesis
GO:0006417	1	GO:0034248	0.983	3.79588001734407	67	regulation of translation	regulation of amide metabolic process
GO:0006396	3	GO:0006396	0.982	3.72124639904717	544	RNA processing	RNA processing
GO:0007275	4	GO:0007275	0.895	3.55284196865778	79	multicellular organism development	multicellular organism development
GO:0045184	5	GO:0045184	0.985	3.52287874528034	38	establishment of protein localization	establishment of protein localization
GO:0071840	6	GO:0071840	0.892	3.48148606012211	0	cellular component organization or biogenesis	cellular component organization or biogenesis
GO:0045176	5	GO:0045184	0.531	3.45593195564972	15	apical protein localization	establishment of protein localization
GO:0060251	7	GO:0060251	1	3.4089353929735	2	regulation of glial cell proliferation	regulation of glial cell proliferation
GO:0048856	4	GO:0007275	0.798	3.30102999566398	49	anatomical structure development	multicellular organism development
GO:0014009	7	GO:0060251	0.97	3.27572413039921	14	glial cell proliferation	regulation of glial cell proliferation
GO:0006897	8	GO:0006897	0.994	3.2518119729938	206	endocytosis	endocytosis
GO:0051128	6	GO:0071840	0.685	3.22914798835786	3	regulation of cellular component organization	cellular component organization or biogenesis
GO:0048729	9	GO:0048729	0.992	3.20065945054642	3	tissue morphogenesis	tissue morphogenesis
GO:0006325	6	GO:0071840	0.546	3.20065945054642	222	chromatin organization	cellular component organization or biogenesis
GO:0036211	10	GO:0036211	0.946	3.11350927482752	84	protein modification process	protein modification process
GO:0002009	9	GO:0048729	0.966	3.04095860767891	20	morphogenesis of an epithelium	tissue morphogenesis
GO:0043297	11	GO:0043297	0.999	3	7	apical junction assembly	apical junction assembly
GO:0048193	8	GO:0006897	0.689	2.98296666070122	10	Golgi vesicle transport	endocytosis
GO:0048565	2	GO:0048546	0.93	2.97881070093006	27	digestive tract development	digestive tract morphogenesis
GO:0034470	3	GO:0006396	0.849	2.96657624451305	2	ncRNA processing	RNA processing
GO:0032502	4	GO:0007275	0.754	2.90308998699194	18	developmental process	multicellular organism development
GO:0014013	7	GO:0060251	0.746	2.87614835903291	2	regulation of gliogenesis	regulation of glial cell proliferation
GO:0120192	11	GO:0043297	0.895	2.84771165561694	7	tight junction assembly	apical junction assembly
GO:0007623	12	GO:0007623	0.998	2.83863199776503	65	circadian rhythm	circadian rhythm
GO:0016072	3	GO:0006396	0.47	2.83863199776503	2	rRNA metabolic process	RNA processing
GO:0098657	13	GO:0098657	0.997	2.83863199776503	2	import into cell	import into cell
GO:0007611	14	GO:0007611	0.998	2.83863199776503	68	learning or memory	learning or memory
GO:0010721	7	GO:0060251	0.353	2.83863199776503	2	negative regulation of cell development	regulation of glial cell proliferation
GO:0009653	9	GO:0048729	0.744	2.83564714421556	131	anatomical structure morphogenesis	tissue morphogenesis
GO:0019827	15	GO:0019827	0.999	2.82681373158773	37	stem cell population maintenance	stem cell population maintenance
