go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:1990748	1	GO:1990748	0.999	6.21467016498923	3	cellular detoxification	cellular detoxification
GO:0098869	1	GO:1990748	0.987	5.82390874094432	76	cellular oxidant detoxification	cellular detoxification
GO:0006936	2	GO:0006936	0.996	5.30980391997149	81	muscle contraction	muscle contraction
GO:0098754	1	GO:1990748	0.98	5.30102999566398	0	detoxification	cellular detoxification
GO:0090075	2	GO:0006936	0.757	4.79588001734407	1	relaxation of muscle	muscle contraction
GO:0019748	3	GO:0019748	0.999	4.33724216831843	1	secondary metabolic process	secondary metabolic process
GO:0006749	4	GO:0006749	0.999	4.18708664335714	53	glutathione metabolic process	glutathione metabolic process
GO:0006937	2	GO:0006936	0.921	4.11918640771921	14	regulation of muscle contraction	muscle contraction
GO:0097237	1	GO:1990748	0.994	3.82390874094432	8	cellular response to toxic substance	cellular detoxification
GO:0062197	1	GO:1990748	0.488	3.82390874094432	4	cellular response to chemical stress	cellular detoxification
GO:0034599	1	GO:1990748	0.481	3.76955107862173	94	cellular response to oxidative stress	cellular detoxification
GO:0006979	5	GO:0006979	0.996	3.67778070526608	121	response to oxidative stress	response to oxidative stress
GO:0042542	5	GO:0006979	0.884	3.52287874528034	42	response to hydrogen peroxide	response to oxidative stress
GO:0055117	2	GO:0006936	0.866	3.48148606012211	22	regulation of cardiac muscle contraction	muscle contraction
GO:0060048	2	GO:0006936	0.922	3.3767507096021	48	cardiac muscle contraction	muscle contraction
GO:0033559	6	GO:0033559	0.999	3.30980391997149	1	unsaturated fatty acid metabolic process	unsaturated fatty acid metabolic process
GO:0006942	2	GO:0006936	0.883	3.30102999566398	8	regulation of striated muscle contraction	muscle contraction
GO:0003012	2	GO:0006936	0.966	3.1249387366083	2	muscle system process	muscle contraction
GO:0051282	7	GO:0051282	0.998	2.97469413473523	1	regulation of sequestering of calcium ion	regulation of sequestering of calcium ion
GO:0000302	5	GO:0006979	0.922	2.97469413473523	13	response to reactive oxygen species	response to oxidative stress
GO:0032787	6	GO:0033559	0.833	2.93930215964639	3	monocarboxylic acid metabolic process	unsaturated fatty acid metabolic process
GO:0048608	8	GO:0048608	0.997	2.92081875395238	4	reproductive structure development	reproductive structure development
GO:0016999	9	GO:0016999	1	2.90308998699194	1	antibiotic metabolic process	antibiotic metabolic process
GO:0007018	10	GO:0007018	0.995	2.90308998699194	69	microtubule-based movement	microtubule-based movement
GO:0061458	8	GO:0048608	0.996	2.86012091359876	5	reproductive system development	reproductive structure development
GO:0006939	2	GO:0006936	0.883	2.80966830182971	21	smooth muscle contraction	muscle contraction
GO:0006941	2	GO:0006936	0.947	2.79588001734407	18	striated muscle contraction	muscle contraction
GO:0042445	11	GO:0042445	0.997	2.73518217699046	15	hormone metabolic process	hormone metabolic process
GO:0051208	7	GO:0051282	0.997	2.72124639904717	5	sequestering of calcium ion	regulation of sequestering of calcium ion
GO:0010970	7	GO:0051282	0.461	2.72124639904717	2	transport along microtubule	regulation of sequestering of calcium ion
GO:0072663	12	GO:0072663	1	2.67366413907125	1	establishment of protein localization to peroxisome	establishment of protein localization to peroxisome
GO:0072662	12	GO:0072663	0.999	2.67366413907125	0	protein localization to peroxisome	establishment of protein localization to peroxisome
GO:0006625	12	GO:0072663	0.999	2.67366413907125	11	protein targeting to peroxisome	establishment of protein localization to peroxisome
GO:0043574	7	GO:0051282	0.413	2.62708799702989	0	peroxisomal transport	regulation of sequestering of calcium ion
GO:0006690	6	GO:0033559	0.642	2.59859945921846	11	icosanoid metabolic process	unsaturated fatty acid metabolic process
GO:0010522	13	GO:0010522	1	2.58169870868025	1	regulation of calcium ion transport into cytosol	regulation of calcium ion transport into cytosol
GO:0043436	6	GO:0033559	0.772	2.57839607313017	0	oxoacid metabolic process	unsaturated fatty acid metabolic process
GO:0006766	6	GO:0033559	0.503	2.57348873863542	6	vitamin metabolic process	unsaturated fatty acid metabolic process
GO:0003008	2	GO:0006936	0.758	2.5654310959658	0	system process	muscle contraction
GO:0030705	7	GO:0051282	0.467	2.52432881167557	22	cytoskeleton-dependent intracellular transport	regulation of sequestering of calcium ion
GO:0006082	6	GO:0033559	0.771	2.52143350440616	7	organic acid metabolic process	unsaturated fatty acid metabolic process
GO:0051924	13	GO:0010522	0.784	2.48280410205003	25	regulation of calcium ion transport	regulation of calcium ion transport into cytosol
GO:0090257	2	GO:0006936	0.902	2.47495519296315	1	regulation of muscle system process	muscle contraction
GO:0040011	14	GO:0040011	0.982	2.43415218132648	8	locomotion	locomotion
GO:0009062	6	GO:0033559	0.782	2.41228903498109	11	fatty acid catabolic process	unsaturated fatty acid metabolic process
GO:0008217	2	GO:0006936	0.579	2.39577394691553	73	regulation of blood pressure	muscle contraction
GO:0007031	12	GO:0072663	0.958	2.38721614328026	30	peroxisome organization	establishment of protein localization to peroxisome
GO:0009636	1	GO:1990748	0.942	2.37986394502624	74	response to toxic substance	cellular detoxification
GO:0019752	6	GO:0033559	0.774	2.3777859770337	9	carboxylic acid metabolic process	unsaturated fatty acid metabolic process
GO:0044242	15	GO:0044242	0.997	2.36451625318509	3	cellular lipid catabolic process	cellular lipid catabolic process
GO:0097553	13	GO:0010522	0.808	2.33913452199613	11	calcium ion transmembrane import into cytosol	regulation of calcium ion transport into cytosol
GO:0060402	13	GO:0010522	0.968	2.33913452199613	14	calcium ion transport into cytosol	regulation of calcium ion transport into cytosol
GO:0070252	16	GO:0070252	0.999	2.30627305107635	4	actin-mediated cell contraction	actin-mediated cell contraction
GO:1903169	13	GO:0010522	0.811	2.29328221766324	5	regulation of calcium ion transmembrane transport	regulation of calcium ion transport into cytosol
GO:0035725	13	GO:0010522	0.582	2.25336580106242	124	sodium ion transmembrane transport	regulation of calcium ion transport into cytosol
GO:0008015	2	GO:0006936	0.66	2.23062267392386	32	blood circulation	muscle contraction
GO:0097746	2	GO:0006936	0.564	2.22914798835786	27	blood vessel diameter maintenance	muscle contraction
GO:0060047	2	GO:0006936	0.623	2.22694530663574	22	heart contraction	muscle contraction
GO:0033993	1	GO:1990748	0.428	2.21681130892474	9	response to lipid	cellular detoxification
GO:0099111	7	GO:0051282	0.322	2.21609642072726	1	microtubule-based transport	regulation of sequestering of calcium ion
GO:0006081	17	GO:0006081	0.999	2.19586056766465	13	cellular aldehyde metabolic process	cellular aldehyde metabolic process
GO:0007015	16	GO:0070252	0.749	2.18641901143181	112	actin filament organization	actin-mediated cell contraction
GO:0006575	18	GO:0006575	0.999	2.18309616062434	0	cellular modified amino acid metabolic process	cellular modified amino acid metabolic process
GO:0030048	16	GO:0070252	0.983	2.1791420105603	16	actin filament-based movement	actin-mediated cell contraction
GO:0072329	6	GO:0033559	0.721	2.17327747983101	0	monocarboxylic acid catabolic process	unsaturated fatty acid metabolic process
GO:0006767	6	GO:0033559	0.48	2.16178077809237	0	water-soluble vitamin metabolic process	unsaturated fatty acid metabolic process
GO:0007568	19	GO:0007568	0.999	2.1331221856625	145	aging	aging
GO:0072593	20	GO:0072593	0.998	2.09528445472132	36	reactive oxygen species metabolic process	reactive oxygen species metabolic process
GO:0120254	21	GO:0120254	0.998	2.09528445472132	0	olefinic compound metabolic process	olefinic compound metabolic process
GO:1901568	15	GO:0044242	0.548	2.08301995267962	0	fatty acid derivative metabolic process	cellular lipid catabolic process
GO:0016042	15	GO:0044242	0.97	2.07007043991541	70	lipid catabolic process	cellular lipid catabolic process
GO:0003015	2	GO:0006936	0.625	2.06905096883248	7	heart process	muscle contraction
GO:0001676	6	GO:0033559	0.785	2.06298389253519	37	long-chain fatty acid metabolic process	unsaturated fatty acid metabolic process
GO:0003013	2	GO:0006936	0.667	2.0584885673656	0	circulatory system process	muscle contraction
GO:0071466	1	GO:1990748	0.465	2.0423927129399	66	cellular response to xenobiotic stimulus	cellular detoxification
GO:0008016	2	GO:0006936	0.609	2.02965312376991	34	regulation of heart contraction	muscle contraction
GO:0043062	22	GO:0043062	0.997	2.02502800570193	1	extracellular structure organization	extracellular structure organization
GO:0051146	23	GO:0051146	0.997	2.01188715973165	14	striated muscle cell differentiation	striated muscle cell differentiation
GO:0044706	24	GO:0044706	0.998	2.00921730819686	0	multi-multicellular organism process	multi-multicellular organism process
GO:0045137	8	GO:0048608	0.767	2.00043451177402	1	development of primary sexual characteristics	reproductive structure development
GO:0008406	8	GO:0048608	0.957	2.00043451177402	12	gonad development	reproductive structure development
