GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006396	RNA processing	1395	237	101.44	< 1e-30
GO:0016070	RNA metabolic process	4886	549	355.28	< 1e-30
GO:0090304	nucleic acid metabolic process	5395	589	392.29	< 1e-30
GO:0010467	gene expression	6414	655	466.39	2.8e-28
GO:0022613	ribonucleoprotein complex biogenesis	698	134	50.75	5.0e-26
GO:0034470	ncRNA processing	534	107	38.83	2.1e-22
GO:0043170	macromolecule metabolic process	10561	933	767.94	4.4e-22
GO:0034660	ncRNA metabolic process	787	135	57.23	1.8e-21
GO:0042254	ribosome biogenesis	396	87	28.79	4.0e-21
GO:0006139	nucleobase-containing compound metabolic...	6817	647	495.69	1.3e-18
GO:0016071	mRNA metabolic process	1207	167	87.77	1.3e-16
GO:0006364	rRNA processing	263	60	19.12	9.6e-16
GO:0051171	regulation of nitrogen compound metaboli...	6363	597	462.68	2.1e-15
GO:0060255	regulation of macromolecule metabolic pr...	6920	639	503.18	2.5e-15
GO:0000375	RNA splicing, via transesterification re...	684	109	49.74	3.6e-15
GO:0000377	RNA splicing, via transesterification re...	684	109	49.74	3.6e-15
GO:0000398	mRNA splicing, via spliceosome	684	109	49.74	3.6e-15
GO:0071840	cellular component organization or bioge...	9284	812	675.08	4.1e-15
GO:0016072	rRNA metabolic process	317	66	23.05	4.3e-15
GO:0006397	mRNA processing	811	122	58.97	6.1e-15
GO:0051252	regulation of RNA metabolic process	3872	396	281.55	1.1e-14
GO:0008380	RNA splicing	759	114	55.19	5.6e-14
GO:0019219	regulation of nucleobase-containing comp...	4228	421	307.44	8.1e-14
GO:0010468	regulation of gene expression	5237	501	380.81	1.0e-13
GO:0044085	cellular component biogenesis	5248	500	381.61	2.3e-13
GO:0006725	cellular aromatic compound metabolic pro...	7479	667	543.83	1.0e-12
GO:0044260	cellular macromolecule metabolic process	8319	729	604.91	1.1e-12
GO:0046483	heterocycle metabolic process	7443	664	541.21	1.2e-12
GO:0006351	DNA-templated transcription	3597	363	261.55	1.7e-12
GO:0031323	regulation of cellular metabolic process	7058	634	513.22	1.9e-12
GO:0097659	nucleic acid-templated transcription	3643	365	264.9	4.0e-12
GO:0010556	regulation of macromolecule biosynthetic...	4268	415	310.35	5.5e-12
GO:0032774	RNA biosynthetic process	3701	369	269.12	5.7e-12
GO:2000112	regulation of cellular macromolecule bio...	4120	403	299.58	5.7e-12
GO:0080090	regulation of primary metabolic process	6776	609	492.71	8.5e-12
GO:0019222	regulation of metabolic process	7822	687	568.77	9.3e-12
GO:0034645	cellular macromolecule biosynthetic proc...	5325	496	387.2	1.6e-11
GO:0034641	cellular nitrogen compound metabolic pro...	8291	718	602.88	3.6e-11
GO:0045935	positive regulation of nucleobase-contai...	2445	257	177.79	1.8e-10
GO:0051276	chromosome organization	1676	190	121.87	1.8e-10
GO:0051254	positive regulation of RNA metabolic pro...	2212	236	160.84	3.0e-10
GO:0050794	regulation of cellular process	11432	936	831.27	3.3e-10
GO:0006913	nucleocytoplasmic transport	638	91	46.39	3.6e-10
GO:0051169	nuclear transport	638	91	46.39	3.6e-10
GO:0006807	nitrogen compound metabolic process	12448	1005	905.15	4.1e-10
GO:1903506	regulation of nucleic acid-templated tra...	3471	340	252.39	5.2e-10
GO:2001141	regulation of RNA biosynthetic process	3483	340	253.26	7.8e-10
GO:0009059	macromolecule biosynthetic process	5560	504	404.29	8.7e-10
GO:0006355	regulation of DNA-templated transcriptio...	3392	332	246.65	1.0e-09
GO:0031326	regulation of cellular biosynthetic proc...	4566	425	332.01	1.5e-09
GO:0006366	transcription by RNA polymerase II	2731	276	198.58	1.9e-09
GO:0001708	cell fate specification	404	64	29.38	2.6e-09
GO:0010605	negative regulation of macromolecule met...	3730	357	271.22	2.7e-09
GO:0016043	cellular component organization	9037	757	657.12	8.4e-09
GO:0048522	positive regulation of cellular process	7114	615	517.29	9.8e-09
GO:0010558	negative regulation of macromolecule bio...	1982	209	144.12	1.0e-08
GO:0009880	embryonic pattern specification	476	70	34.61	1.2e-08
GO:0050789	regulation of biological process	12274	983	892.5	1.9e-08
GO:2000113	negative regulation of cellular macromol...	1916	202	139.32	2.0e-08
GO:0034654	nucleobase-containing compound biosynthe...	4619	422	335.87	2.1e-08
GO:0045934	negative regulation of nucleobase-contai...	1872	198	136.12	2.2e-08
GO:0045165	cell fate commitment	1008	121	73.3	2.3e-08
GO:0009889	regulation of biosynthetic process	4687	427	340.81	2.4e-08
GO:0071826	ribonucleoprotein complex subunit organi...	438	65	31.85	2.7e-08
GO:0035282	segmentation	598	81	43.48	3.6e-08
GO:0022618	ribonucleoprotein complex assembly	413	62	30.03	3.7e-08
GO:0010629	negative regulation of gene expression	2718	268	197.64	3.7e-08
GO:0010557	positive regulation of macromolecule bio...	2374	239	172.62	4.5e-08
GO:0006325	chromatin organization	1263	143	91.84	4.7e-08
GO:0009790	embryo development	2981	289	216.76	4.8e-08
GO:1903311	regulation of mRNA metabolic process	583	79	42.39	5.3e-08
GO:0051172	negative regulation of nitrogen compound...	3208	307	233.27	5.7e-08
GO:0048645	animal organ formation	171	34	12.43	6.4e-08
GO:1903508	positive regulation of nucleic acid-temp...	1981	205	144.05	6.5e-08
GO:1902680	positive regulation of RNA biosynthetic ...	1982	205	144.12	6.7e-08
GO:0051168	nuclear export	328	52	23.85	8.0e-08
GO:0006357	regulation of transcription by RNA polym...	2550	252	185.42	8.9e-08
GO:1901360	organic cyclic compound metabolic proces...	8050	677	585.35	1.0e-07
GO:0051173	positive regulation of nitrogen compound...	4052	372	294.64	1.4e-07
GO:0048863	stem cell differentiation	448	64	32.58	1.5e-07
GO:0051253	negative regulation of RNA metabolic pro...	1711	180	124.41	1.5e-07
GO:0001704	formation of primary germ layer	254	43	18.47	1.6e-07
GO:0044271	cellular nitrogen compound biosynthetic ...	5859	511	426.03	1.9e-07
GO:0006403	RNA localization	525	71	38.18	2.7e-07
GO:0031327	negative regulation of cellular biosynth...	2115	213	153.79	2.8e-07
GO:0009892	negative regulation of metabolic process	4144	377	301.33	3.0e-07
GO:0018130	heterocycle biosynthetic process	4853	432	352.88	3.4e-07
GO:0007350	blastoderm segmentation	400	58	29.09	3.4e-07
